Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,64.099998,68.320000,50.020000,59.779999,59.779999,30705000
2009-02-01,57.799999,68.400002,44.820000,51.279999,51.279999,48975000
2009-03-01,47.700001,59.779999,45.020000,56.400002,56.400002,56350000
2009-04-01,55.299999,63.099998,55.099998,61.299999,61.299999,38985000
2009-05-01,61.099998,62.820000,56.919998,59.439999,59.439999,32400000
2009-06-01,59.709999,60.540001,54.820000,57.919998,57.919998,29990000
2009-07-01,57.939999,64.000000,54.660000,63.610001,63.610001,37460000
2009-08-01,64.019997,71.379997,63.099998,65.720001,65.720001,35825000
2009-09-01,65.860001,69.000000,63.619999,66.459999,66.459999,29385000
2009-10-01,65.629997,67.209999,64.220001,65.660004,65.660004,35325000
2009-11-01,65.599998,70.000000,64.820000,67.059998,67.059998,44670000
2009-12-01,67.459999,67.459999,65.220001,65.720001,65.720001,35040000
2010-01-01,66.000000,77.790001,64.720001,76.430000,76.430000,121830600
2010-02-01,77.790001,80.180000,71.610001,80.129997,80.129997,565057700
2010-03-01,79.989998,83.570000,79.139999,81.269997,81.269997,154218600
2010-04-01,81.599998,81.949997,75.519997,77.000000,77.000000,92127400
2010-05-01,77.699997,78.800003,68.480003,70.550003,70.550003,122890600
2010-06-01,70.050003,81.900002,69.610001,79.690002,79.690002,282968800
2010-07-01,79.559998,80.230003,76.209999,78.120003,78.120003,142378000
2010-08-01,78.779999,80.900002,75.620003,78.779999,78.779999,119398600
2010-09-01,79.300003,85.860001,78.989998,82.680000,82.680000,139519500
2010-10-01,83.300003,84.449997,78.720001,79.559998,79.559998,92603000
2010-11-01,79.760002,83.800003,78.820000,79.680000,79.680000,93500500
2010-12-01,80.720001,81.919998,79.199997,80.110001,80.110001,81550000
2011-01-01,80.500000,83.480003,79.139999,81.750000,81.750000,84128100
2011-02-01,82.059998,87.650002,82.059998,87.279999,87.279999,73848900
2011-03-01,87.540001,87.610001,80.910004,83.629997,83.629997,105971400
2011-04-01,84.089996,84.089996,79.779999,83.300003,83.300003,78134000
2011-05-01,82.389999,82.500000,77.230003,79.070000,79.070000,78103900
2011-06-01,78.760002,78.889999,73.230003,77.389999,77.389999,110372400
2011-07-01,77.239998,78.190002,74.129997,74.169998,74.169998,94539400
2011-08-01,75.699997,75.699997,66.510002,73.000000,73.000000,217963100
2011-09-01,73.209999,74.290001,65.349998,71.040001,71.040001,174126400
2011-10-01,71.059998,80.580002,69.070000,77.860001,77.860001,158242300
2011-11-01,76.120003,79.010002,72.599998,78.760002,78.760002,122847300
2011-12-01,78.209999,78.900002,73.730003,76.300003,76.300003,106429200
2012-01-01,77.379997,80.080002,75.860001,78.370003,78.370003,83703600
2012-02-01,78.790001,80.489998,77.889999,78.449997,78.449997,88645600
2012-03-01,78.639999,82.470001,78.180000,81.150002,81.150002,91952500
2012-04-01,81.150002,82.029999,78.209999,80.449997,80.449997,82267700
2012-05-01,80.470001,82.589996,78.279999,79.360001,79.360001,95266900
2012-06-01,78.330002,83.330002,78.330002,83.330002,83.330002,94865500
2012-07-01,83.339996,85.440002,82.139999,84.839996,84.839996,76748000
2012-08-01,85.040001,86.010002,82.120003,84.339996,84.339996,77094700
2012-09-01,84.400002,89.949997,84.029999,88.199997,88.199997,94139400
2012-10-01,88.720001,90.930000,86.180000,86.349998,86.349998,78756500
2012-11-01,86.639999,88.879997,83.849998,88.080002,88.080002,94389100
2012-12-01,88.279999,90.830002,86.949997,89.699997,89.699997,103893100
2013-01-01,91.320000,97.750000,91.290001,96.930000,96.930000,94793900
2013-02-01,97.559998,102.330002,96.360001,102.160004,102.160004,80903100
2013-03-01,101.449997,104.480003,100.440002,104.199997,104.199997,74033200
2013-04-01,104.169998,108.040001,102.690002,106.320000,106.320000,80169100
2013-05-01,105.970001,115.000000,105.970001,114.070000,114.070000,94406100
2013-06-01,114.760002,115.980003,109.529999,111.919998,111.919998,85956400
2013-07-01,112.510002,119.300003,111.580002,115.870003,115.870003,69327000
2013-08-01,116.980003,119.139999,110.720001,111.220001,111.220001,65857600
2013-09-01,112.320000,117.970001,110.720001,113.510002,113.510002,76045100
2013-10-01,113.739998,117.699997,110.839996,115.089996,115.089996,78695800
2013-11-01,115.279999,117.330002,113.500000,116.529999,116.529999,64369900
2013-12-01,116.500000,118.660004,113.500000,118.559998,118.559998,71609900
2014-01-01,118.339996,118.500000,110.849998,111.599998,111.599998,85991500
2014-02-01,112.110001,116.000000,108.120003,115.779999,115.779999,74687000
2014-03-01,116.150002,125.910004,114.879997,124.970001,124.970001,90071300
2014-04-01,125.070000,129.199997,121.089996,128.850006,128.850006,74373100
2014-05-01,128.809998,129.729996,124.059998,128.339996,128.339996,58347800
2014-06-01,128.279999,128.750000,125.440002,126.559998,126.559998,56746300
2014-07-01,126.720001,129.389999,125.370003,125.430000,125.430000,52785500
2014-08-01,125.000000,137.250000,122.720001,137.250000,137.250000,63594100
2014-09-01,138.029999,142.449997,136.679993,138.139999,138.139999,69754800
2014-10-01,138.369995,141.520004,132.029999,140.160004,140.160004,101163600
2014-11-01,140.880005,149.490005,139.550003,148.690002,148.690002,55476900
2014-12-01,148.610001,152.940002,144.750000,150.149994,150.149994,93411200
2015-01-01,151.500000,151.690002,143.889999,143.910004,143.910004,85914800
2015-02-01,144.130005,151.630005,143.300003,147.410004,147.410004,64107800
2015-03-01,147.710007,147.979996,142.500000,144.320007,144.320007,78754700
2015-04-01,144.339996,144.630005,140.330002,141.210007,141.210007,61845000
2015-05-01,142.000000,148.570007,141.789993,143.000000,143.000000,59082100
2015-06-01,143.259995,144.070007,136.080002,136.110001,136.110001,72412500
2015-07-01,137.699997,144.690002,136.039993,142.740005,142.740005,66030400
2015-08-01,143.110001,143.990005,125.500000,134.039993,134.039993,99605200
2015-09-01,131.789993,134.660004,127.669998,130.399994,130.399994,100652800
2015-10-01,130.550003,138.500000,127.459999,136.020004,136.020004,70190700
2015-11-01,136.770004,138.619995,131.470001,134.089996,134.089996,60925700
2015-12-01,134.860001,136.740005,129.529999,132.039993,132.039993,88188000
2016-01-01,130.160004,131.759995,123.900002,129.770004,129.770004,103400200
2016-02-01,128.940002,135.110001,123.550003,134.169998,134.169998,96038900
2016-03-01,135.110001,143.399994,134.320007,141.880005,141.880005,85834300
2016-04-01,141.210007,148.029999,140.270004,145.479996,145.479996,61190900
2016-05-01,145.770004,147.139999,139.679993,140.539993,140.539993,64492400
2016-06-01,140.970001,146.000000,136.649994,144.789993,144.789993,89905000
2016-07-01,144.589996,146.990005,140.949997,144.270004,144.270004,60473600
2016-08-01,144.619995,150.899994,142.919998,150.490005,150.490005,62482300
2016-09-01,150.699997,151.050003,143.360001,144.470001,144.470001,79210700
2016-10-01,144.270004,145.710007,141.919998,144.300003,144.300003,58778600
2016-11-01,144.679993,159.089996,142.350006,157.440002,157.440002,88383300
2016-12-01,157.580002,167.250000,157.509995,162.979996,162.979996,82826600
2017-01-01,164.339996,165.300003,158.610001,164.139999,164.139999,68222200
2017-02-01,164.750000,172.199997,162.149994,171.419998,171.419998,65292400
2017-03-01,173.699997,177.860001,165.800003,166.679993,166.679993,91077300
2017-04-01,166.720001,168.949997,162.279999,165.210007,165.210007,71143500
2017-05-01,165.800003,168.039993,160.929993,165.279999,165.279999,77027900
2017-06-01,165.800003,171.949997,164.750000,169.369995,169.369995,74743700
2017-07-01,170.399994,175.600006,168.000000,174.970001,174.970001,56308100
2017-08-01,175.929993,181.869995,174.809998,181.160004,181.160004,68412700
2017-09-01,181.600006,184.000000,172.610001,183.320007,183.320007,69468900
2017-10-01,183.449997,190.679993,182.929993,186.940002,186.940002,58414700
2017-11-01,188.100006,193.809998,180.440002,193.009995,193.009995,67325200
2017-12-01,193.589996,200.500000,189.720001,198.220001,198.220001,78499100
2018-01-01,198.869995,217.619995,195.960007,214.380005,214.380005,86828800
2018-02-01,214.490005,217.500000,189.300003,207.199997,207.199997,113727500
2018-03-01,206.820007,213.360001,191.869995,199.479996,199.479996,100508000
2018-04-01,199.009995,202.770004,192.020004,193.729996,193.729996,78790800
